[step37-defaults] serving doors armed ON for the SlidingGatedMoe program (per-flag =0 kills, =1 forces; owner flip 2026-08-27)
[skey] chain=graph_chain_s round=43 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=44 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=45 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=46 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=47 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=48 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=49 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=50 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[mtp-chain] heads=3 policy=step-modulo prefix-replay kv=per-head
[gemm-prime] ENGAGED t=613 base=0 seq_end=613 chunks<=4096 (GEMM trunk + grouped MoE)
[mtp-chain-graph] captured mode=sampled heads=3 interior=3 last=3 filtered=1 key=SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false }
[skey] burst sampled=1 pure_temp=0 capturable=1 temp=0.5 top_k=0 top_p=0.9 min_p=0 pen_on=0 k=4 graph_draft=1 graph_s_parked=0 chain_s_parked=1 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=0 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=1 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=2 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=3 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=4 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=5 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=6 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=7 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=8 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=9 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=10 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=11 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=12 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=13 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=14 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=15 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=16 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=17 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=18 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=19 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=20 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=21 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=22 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=23 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=24 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=25 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=26 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=27 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=28 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=29 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=30 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=31 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=32 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=33 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=34 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=35 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=36 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=37 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=38 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=39 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=40 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=41 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=42 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=43 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=44 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=45 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=46 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=47 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=48 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=49 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=50 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })

[generate_spec K=4] 160 tok in 1.871s = 84.97 tok/s (0.83x vs generate; this run's prime 0.303s)
  acceptance: 110/204 = 53.9%   self-consistency: PASS (seeded rerun identical)
  sampled tokens: [70935, 436, 14, 2513, 734, 1904, 513, 33581, 17574, 304, 270, 3967, 734, 1257, 6304, 1257, 14, 1748, 33, 37157, 6361, 14, 270, 3967, 734, 1257, 6304, 515, 270, 13672, 294, 786, 10156, 118316, 3607, 2632, 377, 35062, 19861, 14, 1539, 270, 22896, 734, 1257, 4256, 515, 4619, 1375, 33, 37157, 1119, 14, 4735, 1559, 28, 270, 3967, 2859, 223, 19, 344, 270, 13672, 14, 1539, 270, 22896, 5271, 260, 4256, 396, 3557, 4619, 1375, 509, 582, 54182, 26, 88027, 83, 63339, 2990, 28, 223, 18, 764, 5265, 2859, 223, 20, 63, 1350, 4, 2136, 6361, 1119, 14, 6361, 270, 3967, 734, 2894, 2859, 344, 1438, 582, 2581, 57008, 37157, 1119, 14, 2513, 678, 322, 9547, 270, 4346, 979, 39059, 270, 4346, 344, 1137, 61, 5265, 2859, 223, 19, 63, 2042, 13313, 304, 4863, 270, 8003, 103860, 19706, 367, 9431, 19633, 15239, 343, 939, 24, 15, 2642, 15, 864, 11, 565, 41802, 21121, 28, 4550, 964, 869, 19861, 343, 75]
[mtp-chain] heads=3 policy=step-modulo prefix-replay kv=per-head
[gemm-prime] ENGAGED t=613 base=0 seq_end=613 chunks<=4096 (GEMM trunk + grouped MoE)
[mtp-chain-graph] captured mode=sampled heads=3 interior=3 last=3 filtered=1 key=SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false }
[skey] burst sampled=1 pure_temp=0 capturable=1 temp=0.5 top_k=0 top_p=0.9 min_p=0 pen_on=0 k=5 graph_draft=1 graph_s_parked=0 chain_s_parked=1 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=0 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=1 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=2 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=3 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=4 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=5 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=6 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=7 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=8 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=9 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=10 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=11 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=12 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=13 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=14 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=15 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=16 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=17 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=18 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=19 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=20 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=21 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=22 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=23 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=24 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=25 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=26 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 5, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
